No,Car_name,Engine,Seats,kms_driven,Fuel_type,Transmission,Ownership,Manufacture,Car_prices
831,Mahindra XUV500 W7 BSIV,2487 cc,7 Seats,"76,813 kms",Diesel,Manual,1st Owner,2018,10.74 Lakh
832,Maruti Omni E 8 Str STD,1950 cc,5 Seats,"80,000 kms",Petrol,Manual,2nd Owner,2011,1.25 Lakh
833,Toyota Camry Hybrid 2.5,2393 cc,5 Seats,"20,000 kms",Petrol,Automatic,1st Owner,2019,40.90 Lakh
834,Mercedes-Benz C-Class Progressive C 220d,1197 cc,7 Seats,"24,000 kms",Diesel,Automatic,2nd Owner,2020,39 Lakh
835,Toyota Innova Crysta 2.4 G MT,2143 cc,5 Seats,"43,200 kms",Diesel,Manual,1st Owner,2017,18.90 Lakh
836,Hyundai i20 Magna Plus,1461 cc,5 Seats,"42,000 kms",Petrol,Manual,1st Owner,2020,6.50 Lakh
837,Mercedes-Benz GLE 250d,2184 cc,5 Seats,"49,000 kms",Diesel,Automatic,1st Owner,2017,44 Lakh
838,Mahindra Verito 1.5 D4 BSIII,1197 cc,4 Seats,"1,95,000 kms",Diesel,Manual,1st Owner,2013,1.80 Lakh
839,Mahindra Thar LX 4-Str Convert Top Diesel,1950 cc,5 Seats,"12,200 kms",Diesel,Manual,1st Owner,2021,16.50 Lakh
840,Hyundai Aura SX,1582 cc,5 Seats,"23,000 kms",Petrol,Manual,1st Owner,2021,6.90 Lakh
841,Mercedes-Benz E-Class Expression E 220 d BSIV,1582 cc,5 Seats,"17,000 kms",Diesel,Automatic,1st Owner,2020,58 Lakh
842,Hyundai Creta 1.6 CRDi SX,1197 cc,5 Seats,"70,000 kms",Diesel,Manual,1st Owner,2015,8.45 Lakh
843,Hyundai Creta 1.6 CRDi SX,1995 cc,5 Seats,"75,000 kms",Diesel,Manual,2nd Owner,2016,9.25 Lakh
844,Maruti Swift VXI,1493 cc,5 Seats,"72,521 kms",Petrol,Manual,1st Owner,2018,6.10 Lakh
845,BMW X3 xDrive 20d Luxury Line,998 cc,5 Seats,"19,000 kms",Diesel,Automatic,1st Owner,2021,60 Lakh
846,Hyundai Venue SX Diesel,1498 cc,5 Seats,"37,233 kms",Diesel,Manual,1st Owner,2020,11.50 Lakh
847,Maruti S-Presso VXI Plus AT 2019-2022,1950 cc,5 Seats,"2,682 kms",Petrol,Automatic,1st Owner,2020,5.50 Lakh
848,Volkswagen Polo 1.5 TDI Trendline,1582 cc,5 Seats,"1,15,000 kms",Diesel,Manual,1st Owner,2016,4.10 Lakh
849,Mercedes-Benz GLC Coupe 300d 4MATIC,1199 cc,5 Seats,"24,900 kms",Diesel,Automatic,1st Owner,2021,71.50 Lakh
850,Hyundai Verna CRDi 1.6 SX Option,624 cc,5 Seats,"74,000 kms",Diesel,Manual,1st Owner,2019,10.95 Lakh
851,Honda Amaze S Petrol,1997 cc,4 Seats,"25,102 kms",Petrol,Manual,1st Owner,2019,6.40 Lakh
852,Tata Nano Cx,2523 cc,5 Seats,"16,700 kms",Petrol,Manual,2nd Owner,2010,"60,000"
853,Jaguar XF 2.0 Petrol Prestige,2494 cc,2 Seats,"7,500 kms",Petrol,Automatic,1st Owner,2020,47 Lakh
854,Mahindra Bolero Pik Up Extra Long FB 1.3T,1197 cc,7 Seats,"60,000 kms",Diesel,Manual,1st Owner,2019,8 Lakh
855,Toyota Innova 2.5 EV (Diesel) MS 7 Seater BS IV,4461 cc,5 Seats,"1,13,000 kms",Diesel,Manual,1st Owner,2011,5.50 Lakh
