No,Car_name,Engine,Seats,kms_driven,Fuel_type,Transmission,Ownership,Manufacture,Car_prices
0,Jeep Compass 2.0 Longitude Option BSIV,1956 cc,5 Seats,"86,226 kms",Diesel,Manual,1st Owner,2017,10.03 Lakh
1,Renault Duster RXZ Turbo CVT,1330 cc,5 Seats,"13,248 kms",Petrol,Automatic,1st Owner,2021,12.83 Lakh
2,Toyota Camry 2.5 G,2494 cc,5 Seats,"60,343 kms",Petrol,Automatic,1st Owner,2016,16.40 Lakh
3,Honda Jazz VX CVT,1199 cc,5 Seats,"26,696 kms",Petrol,Automatic,1st Owner,2018,7.77 Lakh
4,Volkswagen Polo 1.2 MPI Highline,1199 cc,5 Seats,"69,414 kms",Petrol,Manual,1st Owner,2016,5.15 Lakh
5,Volkswagen Vento 1.2 TSI Highline AT,1197 cc,5 Seats,"49,719 kms",Petrol,Automatic,1st Owner,2017,7.66 Lakh
6,Volkswagen Vento 1.2 TSI Highline Plus AT,1197 cc,5 Seats,"43,688 kms",Petrol,Automatic,1st Owner,2017,7.58 Lakh
7,Honda WR-V VX Diesel,1498 cc,5 Seats,"14,470 kms",Diesel,Manual,1st Owner,2021,11.60 Lakh
8,Honda City i VTEC CVT SV,1497 cc,5 Seats,"21,429 kms",Petrol,Automatic,1st Owner,2015,6.99 Lakh
9,Renault Duster Petrol RXS CVT,1498 cc,5 Seats,"31,750 kms",Petrol,Automatic,1st Owner,2017,7.53 Lakh
10,Maruti Baleno 1.2 Alpha,1197 cc,5 Seats,"38,203 kms",Petrol,Manual,1st Owner,2017,6.43 Lakh
11,Honda City i VTEC CVT SV,1497 cc,5 Seats,"1,10,284 kms",Petrol,Automatic,1st Owner,2014,5.43 Lakh
12,Mahindra XUV300 W6,1197 cc,5 Seats,"10,381 kms",Petrol,Manual,1st Owner,2020,8.62 Lakh
13,Jeep Compass 1.4 Limited Plus BSIV,1368 cc,5 Seats,"32,378 kms",Petrol,Automatic,1st Owner,2019,16.78 Lakh
14,Honda City V MT,1498 cc,5 Seats,"38,906 kms",Petrol,Manual,1st Owner,2020,10.03 Lakh
15,Hyundai Grand i10 AT Asta,1197 cc,5 Seats,"59,313 kms",Petrol,Automatic,2nd Owner,2016,5.63 Lakh
16,Hyundai i20 1.4 Asta,1396 cc,5 Seats,"85,672 kms",Diesel,Manual,1st Owner,2017,6.67 Lakh
17,Maruti Ciaz 1.4 Delta,1373 cc,5 Seats,"34,971 kms",Petrol,Manual,2nd Owner,2017,6.73 Lakh
18,Nissan Micra XL Optional,1198 cc,5 Seats,"35,894 kms",Petrol,Manual,2nd Owner,2015,3.21 Lakh
19,Maruti Ciaz Alpha Automatic BSIV,1462 cc,5 Seats,"56,000 kms",Petrol,Automatic,1st Owner,2019,8.50 Lakh
20,Maruti Swift Dzire VXI,1197 cc,5 Seats,"56,568 kms",Petrol,Manual,1st Owner,2014,4.34 Lakh
21,Renault KWID RXT,799 cc,5 Seats,"48,872 kms",Petrol,Manual,1st Owner,2017,3.11 Lakh
22,Renault KWID RXL BSIV,799 cc,5 Seats,"17,346 kms",Petrol,Manual,1st Owner,2019,3.70 Lakh
23,Jeep Compass 2.0 Limited Plus BSIV,1956 cc,5 Seats,"15,414 kms",Diesel,Manual,1st Owner,2019,15.88 Lakh
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,1197 cc,5 Seats,"21,239 kms",Petrol,Manual,1st Owner,2018,5.41 Lakh
25,Maruti Alto K10 LXI,998 cc,5 Seats,"62,361 kms",Petrol,Manual,1st Owner,2014,2.23 Lakh
26,Hyundai Verna 1.6 VTVT S Option,1591 cc,5 Seats,"79,329 kms",Petrol,Manual,2nd Owner,2015,5.88 Lakh
27,Hyundai Tucson GLS AT,1999 cc,5 Seats,"11,945 kms",Petrol,Automatic,1st Owner,2021,22.78 Lakh
28,Maruti Swift Dzire VXI 1.2,1197 cc,5 Seats,"51,324 kms",Petrol,Manual,1st Owner,2018,6.12 Lakh
29,Nissan Magnite XV Premium,999 cc,5 Seats,"5,717 kms",Petrol,Manual,1st Owner,2021,7.44 Lakh
30,Honda City i VTEC CVT VX,1497 cc,5 Seats,"46,417 kms",Petrol,Automatic,1st Owner,2016,8.39 Lakh
31,Honda Amaze S i-Vtech,1198 cc,5 Seats,"1,00,161 kms",Petrol,Manual,1st Owner,2015,4.20 Lakh
32,Hyundai Grand i10 Sportz,1197 cc,5 Seats,"35,424 kms",Petrol,Manual,1st Owner,2016,4.91 Lakh
33,Hyundai EON Era Plus,814 cc,5 Seats,"51,085 kms",Petrol,Manual,1st Owner,2017,2.93 Lakh
34,Maruti Alto 800 LXI,796 cc,5 Seats,"30,983 kms",Petrol,Manual,1st Owner,2016,2.98 Lakh
35,Renault KWID RXL,799 cc,5 Seats,"32,681 kms",Petrol,Manual,1st Owner,2016,2.60 Lakh
36,Hyundai EON Magna Plus,814 cc,5 Seats,"57,581 kms",Petrol,Manual,2nd Owner,2014,2.38 Lakh
37,Honda Jazz 1.2 V AT i VTEC,1199 cc,5 Seats,"39,821 kms",Petrol,Automatic,1st Owner,2016,6.05 Lakh
38,Maruti Alto 800 LXI,796 cc,5 Seats,"21,186 kms",Petrol,Manual,1st Owner,2018,3.23 Lakh
39,Renault KWID RXL,799 cc,5 Seats,"34,972 kms",Petrol,Manual,1st Owner,2018,3.26 Lakh
40,Honda Amaze S i-Vtech,1198 cc,5 Seats,"46,623 kms",Petrol,Manual,2nd Owner,2015,4.21 Lakh
41,Kia Seltos GTX Plus,1353 cc,5 Seats,"18,557 kms",Petrol,Manual,1st Owner,2019,15.53 Lakh
42,Jeep Compass 2.0 Limited,1956 cc,5 Seats,"58,463 kms",Diesel,Manual,1st Owner,2017,12.43 Lakh
43,MG Hector Plus Sharp DCT,1451 cc,6 Seats,"5,000 kms",Petrol,Automatic,1st Owner,2020,18.50 Lakh
44,Tata Harrier XZ BSIV,1956 cc,5 Seats,"66,000 kms",Diesel,Manual,1st Owner,2019,15.90 Lakh
45,Renault Duster Petrol RXS CVT,1498 cc,5 Seats,"14,000 kms",Petrol,Automatic,1st Owner,2019,8.90 Lakh
46,BMW 5 Series 520d Luxury Line,1995 cc,5 Seats,"61,000 kms",Diesel,Automatic,1st Owner,2019,43 Lakh
47,Hyundai i20 1.4 Magna Executive,1396 cc,5 Seats,"65,392 kms",Diesel,Manual,1st Owner,2017,6 Lakh
48,Mercedes-Benz CLA 200 CGI Sport,1991 cc,5 Seats,"37,000 kms",Petrol,Automatic,1st Owner,2018,27 Lakh
49,Maruti XL6 Zeta,1462 cc,6 Seats,"9,000 kms",Petrol,Manual,1st Owner,2020,10.90 Lakh
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,1197 cc,5 Seats,"32,000 kms",Petrol,Automatic,1st Owner,2017,5.90 Lakh
51,Mahindra XUV500 W8 2WD,2179 cc,7 Seats,"68,000 kms",Diesel,Manual,1st Owner,2012,6.50 Lakh
52,Hyundai i20 Magna 1.2,1197 cc,5 Seats,"13,000 kms",Petrol,Manual,1st Owner,2017,6.75 Lakh
53,Datsun RediGO AMT 1.0 T Option,999 cc,5 Seats,"30,000 kms",Petrol,Automatic,1st Owner,2020,3.70 Lakh
54,Honda Brio VX AT,1198 cc,5 Seats,"34,300 kms",Petrol,Automatic,1st Owner,2015,5.25 Lakh
55,Honda City i VTEC CVT SV,1497 cc,5 Seats,"45,000 kms",Petrol,Automatic,1st Owner,2015,7.25 Lakh
56,Toyota Corolla Altis GL MT,1798 cc,5 Seats,"37,000 kms",Petrol,Manual,1st Owner,2014,8.50 Lakh
57,Jeep Compass 1.4 Sport,1368 cc,5 Seats,"50,000 kms",Petrol,Manual,1st Owner,2018,14 Lakh
58,Volvo XC60 D4 Summum,1985 cc,5 Seats,"1,05,241 kms",Diesel,Automatic,1st Owner,2015,15 Lakh
59,Toyota Corolla Altis 1.8 G,1798 cc,5 Seats,"54,000 kms",Petrol,Manual,1st Owner,2019,13.90 Lakh
60,Hyundai Verna VTVT 1.6 SX,1591 cc,5 Seats,"19,600 kms",Petrol,Manual,1st Owner,2019,8.90 Lakh
61,Audi A4 2.0 TDI Technology Edition,1968 cc,5 Seats,"48,000 kms",Diesel,Automatic,1st Owner,2015,16.90 Lakh
62,Audi Q3 2.0 TDI,1968 cc,5 Seats,"69,500 kms",Diesel,Automatic,1st Owner,2012,13.90 Lakh
63,BMW 5 Series 530d,2993 cc,5 Seats,"71,000 kms",Diesel,Automatic,2nd Owner,2012,15 Lakh
64,Porsche Cayenne S Diesel,4134 cc,5 Seats,"48,894 kms",Diesel,Automatic,1st Owner,2014,45 Lakh
65,Maruti A-Star Zxi,998 cc,5 Seats,"46,257 kms",Petrol,Manual,3rd Owner,2008,1.53 Lakh
66,Ford Ecosport 1.5 DV5 MT Titanium,1498 cc,5 Seats,"78,264 kms",Diesel,Manual,2nd Owner,2015,5.09 Lakh
67,Honda Jazz 1.2 S AT i VTEC,1199 cc,5 Seats,"42,451 kms",Petrol,Automatic,1st Owner,2016,5.46 Lakh
68,Volkswagen Vento Diesel Highline,1598 cc,5 Seats,"1,31,861 kms",Diesel,Manual,2nd Owner,2012,2.73 Lakh
69,Maruti Wagon R VXI BS IV,998 cc,5 Seats,"1,28,004 kms",Petrol,Manual,2nd Owner,2012,1.80 Lakh
70,Chevrolet Beat Diesel PS,936 cc,5 Seats,"1,50,349 kms",Diesel,Manual,1st Owner,2012,1.10 Lakh
71,Maruti Wagon R VXI BS IV,998 cc,5 Seats,"29,033 kms",Petrol,Manual,1st Owner,2017,3.69 Lakh
72,BMW 3 Series 320d Luxury Line,1995 cc,5 Seats,"99,000 kms",Diesel,Automatic,1st Owner,2015,13.50 Lakh
73,Renault KWID RXL,799 cc,5 Seats,"47,000 kms",Petrol,Manual,1st Owner,2018,2.75 Lakh
74,Maruti Baleno 1.3 Sigma,1248 cc,5 Seats,"35,000 kms",Diesel,Manual,1st Owner,2018,5.50 Lakh
75,Mercedes-Benz C-Class C 220 CDI BE COR,2143 cc,5 Seats,"58,000 kms",Diesel,Automatic,1st Owner,2013,9.75 Lakh
76,Honda City S,1497 cc,5 Seats,"48,000 kms",Petrol,Manual,1st Owner,2012,4 Lakh
77,Honda Amaze VX AT i-Vtech,1198 cc,5 Seats,"45,000 kms",Petrol,Automatic,1st Owner,2014,4.75 Lakh
78,Hyundai EON D Lite,814 cc,5 Seats,"60,000 kms",Petrol,Manual,2nd Owner,2012,1.90 Lakh
79,Hyundai i20 Magna Optional 1.2,1197 cc,5 Seats,"23,000 kms",Petrol,Manual,1st Owner,2014,4.65 Lakh
80,Hyundai Grand i10 1.2 Kappa Era,1197 cc,5 Seats,"45,000 kms",Petrol,Manual,1st Owner,2019,4.60 Lakh
81,Hyundai i10 Magna 1.1L,1086 cc,5 Seats,"45,000 kms",Petrol,Manual,1st Owner,2014,3.25 Lakh
82,Maruti Ertiga VDI,1248 cc,7 Seats,"58,000 kms",Diesel,Manual,1st Owner,2013,5.25 Lakh
83,Hyundai i20 1.2 Spotz,1197 cc,5 Seats,"48,000 kms",Petrol,Manual,1st Owner,2018,6.25 Lakh
84,BMW 2 Series 220i M Sport,1998 cc,5 Seats,"18,000 kms",Petrol,Automatic,1st Owner,2021,40 Lakh
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,999 cc,5 Seats,"16,000 kms",Petrol,Automatic,1st Owner,2022,16.75 Lakh
86,Honda City i-VTEC VX,1497 cc,5 Seats,"24,000 kms",Petrol,Manual,1st Owner,2019,10 Lakh
87,MG Hector Plus Select Diesel MT 7 STR,1956 cc,7 Seats,"36,000 kms",Diesel,Manual,1st Owner,2021,17.90 Lakh
88,Jeep Compass 1.4 Limited Plus,1368 cc,5 Seats,"35,000 kms",Petrol,Automatic,2nd Owner,2019,13.90 Lakh
89,Honda Amaze E Petrol BSIV,1199 cc,5 Seats,"64,000 kms",Petrol,Manual,1st Owner,2019,6.10 Lakh
90,Maruti Vitara Brezza VDi,1248 cc,5 Seats,"72,000 kms",Diesel,Manual,1st Owner,2017,7.75 Lakh
91,Hyundai Grand i10 Magna,1197 cc,5 Seats,"29,900 kms",Petrol,Manual,1st Owner,2015,4.60 Lakh
92,Mahindra XUV700 AX5 Diesel AT,2198 cc,5 Seats,"20,000 kms",Diesel,Automatic,1st Owner,2022,20.91 Lakh
93,Tata Indigo VX BSIV,1396 cc,5 Seats,"1,60,000 kms",Diesel,Manual,1st Owner,2013,3.10 Lakh
94,Tata Tiago XZ Plus,1199 cc,5 Seats,"16,000 kms",Petrol,Manual,1st Owner,2020,5.65 Lakh
95,Honda WR-V i-VTEC VX,1199 cc,5 Seats,"17,000 kms",Petrol,Manual,1st Owner,2019,9 Lakh
96,Lexus NX 300h,2499 cc,5 Seats,"1,11,000 kms",Petrol,Automatic,1st Owner,2018,42 Lakh
97,Mercedes-Benz M-Class ML 250 CDI,2143 cc,5 Seats,"38,000 kms",Diesel,Automatic,2nd Owner,2015,28.50 Lakh
98,Honda Jazz 1.5 SV i DTEC,1498 cc,5 Seats,"32,000 kms",Diesel,Manual,1st Owner,2015,5.50 Lakh
99,Volkswagen Polo 1.2 MPI Comfortline,1198 cc,5 Seats,"67,000 kms",Petrol,Manual,1st Owner,2015,4.50 Lakh
100,Ford Ecosport 1.5 Petrol Titanium AT,1496 cc,5 Seats,"50,000 kms",Petrol,Automatic,1st Owner,2016,6.75 Lakh
101,Maruti Swift VDI BSIV,1248 cc,5 Seats,"1,10,000 kms",Diesel,Manual,2nd Owner,2010,1.80 Lakh
102,Hyundai Verna VTVT 1.6 AT EX,1591 cc,5 Seats,"51,000 kms",Petrol,Automatic,1st Owner,2017,7.75 Lakh
103,Hyundai Grand i10 1.2 CRDi Sportz,1186 cc,5 Seats,"83,000 kms",Diesel,Manual,1st Owner,2017,5.50 Lakh
104,Audi Q3 35 TDI Quattro Premium,1968 cc,5 Seats,"38,000 kms",Diesel,Automatic,1st Owner,2016,24 Lakh
105,Hyundai Creta 1.6 SX Automatic Diesel,1582 cc,5 Seats,"58,000 kms",Diesel,Automatic,1st Owner,2018,13.25 Lakh
106,Hyundai Creta 1.6 SX,1591 cc,5 Seats,"36,000 kms",Petrol,Manual,1st Owner,2018,11 Lakh
107,Volkswagen Vento 1.0 TSI Highline AT,999 cc,5 Seats,"23,500 kms",Petrol,Automatic,1st Owner,2020,10.50 Lakh
108,Hyundai i20 1.2 Magna Executive,1197 cc,5 Seats,"60,000 kms",Petrol,Manual,1st Owner,2017,6.50 Lakh
109,Skoda Superb LK 1.8 TSI AT,1798 cc,5 Seats,"18,000 kms",Petrol,Automatic,1st Owner,2018,25 Lakh
110,Honda Amaze V Petrol BSIV,1199 cc,5 Seats,"36,500 kms",Petrol,Manual,1st Owner,2017,6 Lakh
111,Skoda Superb Sportline,1984 cc,5 Seats,"25,000 kms",Petrol,Automatic,1st Owner,2021,31 Lakh
112,Kia Seltos HTX IVT,1497 cc,5 Seats,"20,500 kms",Petrol,Automatic,1st Owner,2020,15.75 Lakh
113,Honda Amaze S i-Vtech,1198 cc,5 Seats,"30,000 kms",Petrol,Manual,1st Owner,2015,4.50 Lakh
114,Hyundai i20 Magna 1.2,1197 cc,5 Seats,"59,000 kms",Petrol,Manual,1st Owner,2017,5.90 Lakh
115,BMW X1 sDrive 20d xLine,1995 cc,5 Seats,"80,000 kms",Diesel,Automatic,1st Owner,2014,14.50 Lakh
116,Hyundai Xcent 1.2 CRDi E Plus,1186 cc,5 Seats,"50,000 kms",Diesel,Manual,2nd Owner,2017,3.80 Lakh
117,Tata Harrier XZAS Plus Kaziranga Edition AT,1956 cc,5 Seats,"32,000 kms",Diesel,Automatic,1st Owner,2021,21 Lakh
118,Hyundai i10 Era 1.1 iTech SE,1086 cc,5 Seats,"1,20,000 kms",Petrol,Manual,2nd Owner,2012,2.61 Lakh
119,Land Rover Discovery 2.0 R-Dynamic HSE,1997 cc,7 Seats,"33,000 kms",Petrol,Automatic,1st Owner,2021,1.10 Crore
120,Mini 3 DOOR Cooper S,1998 cc,4 Seats,"6,900 kms",Petrol,Automatic,1st Owner,2019,42 Lakh
121,Tata Harrier XZA Plus Kaziranga Edition AT,1956 cc,5 Seats,"4,500 kms",Diesel,Automatic,1st Owner,2022,22.50 Lakh
122,Volvo S90 D4 Inscription BSIV,1969 cc,5 Seats,"51,000 kms",Diesel,Automatic,1st Owner,2018,42 Lakh
123,Kia Seltos GTX Plus AT D,1493 cc,5 Seats,"12,000 kms",Diesel,Automatic,1st Owner,2022,19.75 Lakh
124,Maruti Vitara Brezza ZDi Plus,1248 cc,5 Seats,"37,000 kms",Diesel,Manual,1st Owner,2018,9.50 Lakh
125,Hyundai Verna SX Opt Diesel,1493 cc,5 Seats,"35,000 kms",Diesel,Manual,1st Owner,2021,14.51 Lakh
126,Maruti Wagon R VXI Optional,998 cc,5 Seats,"80,000 kms",Petrol,Manual,2nd Owner,2016,3 Lakh
127,Hyundai Grand i10 Magna,1197 cc,5 Seats,"60,000 kms",Petrol,Manual,1st Owner,2016,4.60 Lakh
128,Honda Amaze VX CVT,1199 cc,5 Seats,"10,000 kms",Petrol,Automatic,1st Owner,2022,9.15 Lakh
129,Maruti Ignis Zeta AMT,1197 cc,5 Seats,"59,385 kms",Petrol,Automatic,1st Owner,2019,5.50 Lakh
130,Jaguar XF 3.0 Litre S Premium Luxury,2993 cc,5 Seats,"51,000 kms",Diesel,Automatic,2nd Owner,2012,17 Lakh
131,Mahindra XUV500 AT W6 1.99 mHawk,1997 cc,7 Seats,"74,000 kms",Diesel,Automatic,1st Owner,2017,9.90 Lakh
132,Tata Nexon 1.2 Revotron XMA,1198 cc,5 Seats,"29,000 kms",Petrol,Automatic,1st Owner,2020,8.51 Lakh
133,Jeep Compass Model S 4X4 Diesel AT,1956 cc,5 Seats,"12,200 kms",Diesel,Automatic,1st Owner,2021,27.50 Lakh
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,1197 cc,5 Seats,"40,000 kms",Petrol,Automatic,3rd Owner,2019,5.50 Lakh
135,Hyundai Verna CRDi 1.6 SX,1582 cc,5 Seats,"58,000 kms",Diesel,Manual,1st Owner,2018,9.51 Lakh
136,Toyota Innova Crysta 2.8 ZX AT BSIV,2755 cc,7 Seats,"75,000 kms",Diesel,Automatic,2nd Owner,2019,19.90 Lakh
137,Land Rover Discovery Sport TD4 HSE 7S,1999 cc,7 Seats,"72,000 kms",Diesel,Automatic,1st Owner,2018,35.50 Lakh
138,Ford Aspire 1.2 Ti-VCT Titanium,1196 cc,5 Seats,"23,400 kms",Petrol,Manual,1st Owner,2017,5.50 Lakh
139,Ford Aspire 1.2 Ti-VCT Ambiente,1196 cc,5 Seats,"59,300 kms",Petrol,Manual,1st Owner,2017,3.90 Lakh
140,Hyundai Creta 1.4 CRDi S,1396 cc,5 Seats,"72,000 kms",Diesel,Manual,1st Owner,2016,8.90 Lakh
141,Maruti Swift Dzire LDI,1248 cc,5 Seats,"67,000 kms",Diesel,Manual,1st Owner,2017,4.51 Lakh
142,Honda Amaze S CVT i-VTEC,1199 cc,5 Seats,"33,500 kms",Petrol,Automatic,1st Owner,2018,7.25 Lakh
143,Hyundai Creta SX Executive,1497 cc,5 Seats,"17,000 kms",Petrol,Manual,2nd Owner,2021,12.75 Lakh
144,Volkswagen Ameo 1.5 TDI Highline AT,1498 cc,5 Seats,"33,000 kms",Diesel,Automatic,1st Owner,2016,6.90 Lakh
145,Volkswagen Polo GT TSI,1197 cc,5 Seats,"49,000 kms",Petrol,Automatic,1st Owner,2015,6.75 Lakh
146,Hyundai Grand i10 AT Asta,1197 cc,5 Seats,"26,000 kms",Petrol,Automatic,1st Owner,2015,5.65 Lakh
147,Hyundai Venue SX Opt iMT,998 cc,5 Seats,"14,500 kms",Petrol,Manual,1st Owner,2020,10 Lakh
148,Kia Seltos GTX Plus AT D,1493 cc,5 Seats,"10,000 kms",Diesel,Automatic,1st Owner,2022,19.75 Lakh
149,MG Hector Plus Sharp DCT,1451 cc,6 Seats,"15,001 kms",Petrol,Automatic,1st Owner,2020,17 Lakh
150,Skoda Octavia Elegance 1.8 TSI AT,1798 cc,5 Seats,"55,000 kms",Petrol,Automatic,2nd Owner,2015,9.75 Lakh
151,Toyota Corolla Altis G,1798 cc,5 Seats,"38,000 kms",Petrol,Manual,1st Owner,2013,6.50 Lakh
152,Ford Endeavour 4x4 XLT,2953 cc,7 Seats,"1,10,000 kms",Diesel,Manual,2nd Owner,2005,4 Lakh
153,Honda Amaze S AT i-Vtech,1198 cc,5 Seats,"65,413 kms",Petrol,Automatic,1st Owner,2013,4.75 Lakh
154,Honda Jazz Mode,1198 cc,5 Seats,"45,000 kms",Petrol,Manual,2nd Owner,2009,2.80 Lakh
155,Ford Figo 1.2P Trend MT,1196 cc,5 Seats,"44,000 kms",Petrol,Manual,1st Owner,2017,4.30 Lakh
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,1197 cc,5 Seats,"40,000 kms",Petrol,Manual,1st Owner,2017,4.90 Lakh
157,Ford Ecosport 1.5 Petrol Titanium AT,1496 cc,5 Seats,"49,000 kms",Petrol,Automatic,1st Owner,2016,6.51 Lakh
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,2184 cc,4 Seats,"19,000 kms",Diesel,Automatic,1st Owner,2022,17.51 Lakh
159,Hyundai i20 Magna Optional 1.4 CRDi,1396 cc,5 Seats,"56,000 kms",Diesel,Manual,2nd Owner,2013,3.91 Lakh
160,Honda City 1.5 V MT,1497 cc,5 Seats,"65,000 kms",Petrol,Manual,2nd Owner,2010,3.75 Lakh
161,Toyota Etios G,1496 cc,5 Seats,"27,680 kms",Petrol,Manual,1st Owner,2013,4.90 Lakh
162,Kia Seltos GTX Plus AT D,1493 cc,5 Seats,"27,305 kms",Diesel,Automatic,1st Owner,2021,18.25 Lakh
163,BMW 3 Series 320d,1995 cc,5 Seats,"10,793 kms",Diesel,Automatic,1st Owner,2019,33 Lakh
164,BMW X3 xDrive 20d Luxury Line,1995 cc,5 Seats,"12,000 kms",Diesel,Automatic,1st Owner,2020,56 Lakh
165,MG Hector Sharp DCT,1451 cc,5 Seats,"44,000 kms",Petrol,Automatic,1st Owner,2019,14.99 Lakh
166,Kia Seltos HTK G,1497 cc,5 Seats,"63,000 kms",Petrol,Manual,1st Owner,2020,11.99 Lakh
167,Hyundai i20 Sportz Plus Diesel,1396 cc,5 Seats,"87,000 kms",Diesel,Manual,1st Owner,2019,6.50 Lakh
168,Maruti Alto LXi,796 cc,5 Seats,"61,000 kms",Petrol,Manual,1st Owner,2010,1.90 Lakh
169,Hyundai i20 Sportz Option 1.4 CRDi,1396 cc,5 Seats,"72,000 kms",Diesel,Manual,1st Owner,2016,6.25 Lakh
170,Audi A4 2.0 TDI Multitronic,1968 cc,5 Seats,"70,000 kms",Diesel,Automatic,1st Owner,2015,16.51 Lakh
171,Nissan Micra Diesel XV,1461 cc,5 Seats,"58,000 kms",Diesel,Manual,2nd Owner,2012,2.25 Lakh
172,Honda Jazz Active,1198 cc,5 Seats,"90,000 kms",Petrol,Manual,3rd Owner,2009,1.30 Lakh
173,Honda City VX MT,1497 cc,5 Seats,"19,000 kms",Petrol,Manual,1st Owner,2022,12.50 Lakh
174,Toyota Corolla Altis G AT,1798 cc,5 Seats,"72,159 kms",Petrol,Automatic,1st Owner,2014,9.25 Lakh
175,Ford Ecosport 1.5 DV5 MT Titanium,1498 cc,5 Seats,"78,000 kms",Diesel,Manual,1st Owner,2015,5.90 Lakh
176,Ford Ecosport 1.5 Diesel Titanium BSIV,1498 cc,5 Seats,"58,000 kms",Diesel,Manual,1st Owner,2018,6.90 Lakh
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,1498 cc,5 Seats,"72,000 kms",Diesel,Manual,1st Owner,2018,8.90 Lakh
178,Land Rover Range Rover Evoque 2.0 TD4 SE,1999 cc,5 Seats,"56,000 kms",Diesel,Automatic,1st Owner,2018,42.50 Lakh
179,Nissan Micra Diesel XV,1461 cc,5 Seats,"73,000 kms",Diesel,Manual,1st Owner,2012,2.90 Lakh
180,Hyundai Creta 1.6 VTVT S,1591 cc,5 Seats,"28,840 kms",Petrol,Manual,1st Owner,2016,8.90 Lakh
181,Maruti Swift Dzire AMT ZXI,1197 cc,5 Seats,"51,500 kms",Petrol,Automatic,1st Owner,2019,6.90 Lakh
182,Maruti S-Presso VXI Plus AT 2019-2022,998 cc,5 Seats,"41,370 kms",Petrol,Automatic,1st Owner,2020,4.80 Lakh
183,Hyundai Creta 1.6 VTVT S,1591 cc,5 Seats,"41,266 kms",Petrol,Manual,1st Owner,2016,8.75 Lakh
184,Hyundai Verna VTVT 1.6 AT SX Option,1591 cc,5 Seats,"31,740 kms",Petrol,Automatic,1st Owner,2018,9.90 Lakh
185,Maruti Ciaz VXi Plus,1373 cc,5 Seats,"77,876 kms",Petrol,Manual,1st Owner,2015,6.15 Lakh
186,Skoda Kushaq 1.5 TSI Style,1498 cc,5 Seats,"9,500 kms",Petrol,Manual,1st Owner,2022,20.50 Lakh
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,1197 cc,5 Seats,"28,387 kms",Petrol,Automatic,1st Owner,2019,6.25 Lakh
188,Mercedes-Benz M-Class ML 350 CDI,2987 cc,5 Seats,"1,20,000 kms",Diesel,Automatic,2nd Owner,2015,27 Lakh
189,Hyundai Grand i10 Magna,1197 cc,5 Seats,"20,000 kms",Petrol,Manual,2nd Owner,2017,4.50 Lakh
190,Mercedes-Benz C-Class Progressive C 220d,1950 cc,5 Seats,"30,686 kms",Diesel,Automatic,1st Owner,2020,42.50 Lakh
191,Tata Indica eV2 DL BSIII,1396 cc,5 Seats,"1,20,000 kms",Diesel,Manual,2nd Owner,2013,1 Lakh
192,Mahindra Bolero Power Plus SLE,1493 cc,7 Seats,"1,84,000 kms",Diesel,Manual,2nd Owner,2018,6 Lakh
193,Honda City 1.5 S AT,1497 cc,5 Seats,"40,000 kms",Petrol,Automatic,1st Owner,2009,4 Lakh
194,Maruti Ciaz Delta Diesel,1248 cc,5 Seats,"55,000 kms",Diesel,Manual,1st Owner,2015,6.25 Lakh
195,Hyundai Grand i10 1.2 Kappa Sportz Option,1197 cc,5 Seats,"38,000 kms",Petrol,Manual,1st Owner,2019,5.75 Lakh
196,Audi Q3 30 TFSI Premium FWD,1395 cc,5 Seats,"40,000 kms",Petrol,Automatic,1st Owner,2017,23.50 Lakh
197,Hyundai Santro GS zipDrive - Euro II,999 cc,5 Seats,"60,000 kms",Petrol,Manual,2nd Owner,2006,1.35 Lakh
198,Mahindra Bolero SLX,2523 cc,7 Seats,"1,10,000 kms",Diesel,Manual,3rd Owner,2009,3 Lakh
199,Maruti Swift LDI,1248 cc,5 Seats,"1,43,000 kms",Diesel,Manual,2nd Owner,2011,2.10 Lakh
200,Tata Indica Aqua 1.3 Quadrajet BSIV,1248 cc,5 Seats,"1,10,000 kms",Diesel,Manual,3rd Owner,2012,1.25 Lakh
201,Mahindra KUV 100 mFALCON D75 K4 Plus,1198 cc,6 Seats,"58,000 kms",Diesel,Manual,1st Owner,2017,4.75 Lakh
202,Honda City i VTEC SV,1497 cc,5 Seats,"65,000 kms",Petrol,Manual,2nd Owner,2014,5.50 Lakh
203,Tata Harrier XZ Plus,1956 cc,5 Seats,"50,000 kms",Diesel,Manual,1st Owner,2021,17 Lakh
204,Tata Zest Revotron 1.2 XT,1193 cc,5 Seats,"55,000 kms",Petrol,Manual,1st Owner,2015,3.49 Lakh
205,Land Rover Discovery Sport R-Dynamic SE Diesel,1999 cc,7 Seats,"19,500 kms",Diesel,Automatic,1st Owner,2021,70 Lakh
206,Mahindra XUV500 AT W10 FWD,2179 cc,7 Seats,"78,000 kms",Diesel,Automatic,2nd Owner,2016,9.25 Lakh
